num_client;numero_commande;date;montant_des_produits;remise_sur_produits;montant_livraison;remise_sur_livraison;montant_total_paye
ID_592683;377623;19/05/2022;58;;15.99;;73.99
ID_592683;395232;15/09/2022;32;;12.99;;44.99
ID_592734;298705;07/04/2021;59.5;;4.99;-4.99;59.5
ID_592737;292805;06/03/2021;275;-20;45.49;;300.49
ID_592841;341304;20/11/2021;55;;4.99;;59.99
ID_592841;357725;29/01/2022;125;;12.99;;137.99
ID_592879;293177;08/03/2021;32.5;;4.99;;37.49
ID_592923;357066;28/01/2022;37.5;;8;;45.5
ID_592923;370692;05/04/2022;45;;7.49;;52.49
ID_592923;370694;05/04/2022;35.9;;8.49;;44.39
ID_592923;376536;09/05/2022;35;;7.49;;42.49
ID_592923;382943;24/06/2022;41;;6.5;;47.5
ID_592923;382946;24/06/2022;54.5;;8.5;;63
ID_592923;384538;28/06/2022;37.5;;8.5;;46
ID_592923;385682;03/07/2022;61.5;;12;;73.5
ID_592923;398282;09/10/2022;69;;12.99;;81.99
ID_592923;399290;15/10/2022;64;;8.5;;72.5
ID_592923;400669;27/10/2022;55;;6.5;;61.5
ID_592923;400859;29/10/2022;56;;17.5;;73.5
ID_592923;401505;04/11/2022;32;;7.49;;39.49
ID_593067;359449;03/02/2022;398;;29.99;;427.99
ID_593075;298651;06/04/2021;215;-25;45.49;;235.49
ID_593075;305907;23/05/2021;12.5;;4.7;;17.2
ID_593075;336749;06/11/2021;530;-20;9.6;;519.6
ID_593075;373464;16/04/2022;20;;4.6;-4.6;20
ID_593075;405130;24/11/2022;29;;5.2;;34.2
ID_593219;294088;13/03/2021;183;;5.99;;188.99
ID_593219;304310;12/05/2021;579;;7.99;;586.99
ID_593219;305202;19/05/2021;45;;4.99;;49.99
ID_593312;366481;14/03/2022;39.5;;4.49;;43.99
ID_593368;294594;16/03/2021;46;;3.99;;49.99
ID_593420;351266;12/01/2022;75;;4.99;;79.99
ID_593746;295287;21/03/2021;30;;7.49;;37.49
ID_593746;340209;17/11/2021;97.5;;25;;122.5
ID_593746;367635;23/03/2022;26;;11;;37
ID_593752;375023;01/05/2022;356;;37.5;;393.5
ID_593752;380369;09/06/2022;89;;15.99;;104.99
ID_593752;386353;07/07/2022;89;;15.99;;104.99
ID_593765;304999;17/05/2021;637;;29.99;;666.99
ID_593774;295320;22/03/2021;78;;11.2;;89.2
ID_593833;295479;23/03/2021;279;-15;19.49;;283.49
ID_593833;325135;05/09/2021;44;;8;;52
ID_593834;297530;02/04/2021;130;-15;29.99;;144.99
ID_593834;317592;21/07/2021;35;;3.99;;38.99
ID_593834;374479;27/04/2022;105;-20;5.2;;90.2
ID_593834;393334;25/12/2022;55;;31.98;;86.98
ID_593884;313183;01/07/2021;20.7;;4.7;-4.7;20.7
ID_593884;319008;27/07/2021;15.2;;4.7;-4.7;15.2
ID_593975;392695;19/12/2022;28;;6.5;;34.5
ID_593975;394657;11/09/2022;24;;6.5;;30.5
ID_593975;398067;08/10/2022;32;;6.5;;38.5
ID_593975;398070;08/10/2022;33.5;;6.5;;40
ID_593975;406167;01/12/2022;12;;5.5;;17.5
ID_594020;295823;26/03/2021;160;-15;4.99;;149.99
ID_594020;407825;10/12/2022;49;;12.99;;61.99
ID_594101;300590;14/04/2021;32.45;;6.8;;39.25
ID_594101;350396;09/01/2022;151.1;;12.99;;164.09
ID_594101;385922;04/07/2022;12;;6.5;;18.5
ID_594101;399109;14/10/2022;63;;12.25;;75.25
ID_594139;296691;28/03/2021;60;;8;;68
ID_594159;296534;28/03/2021;155;-20;4.49;;139.49
ID_594186;310738;20/06/2021;55;;8;;63
ID_594186;325004;04/09/2021;157;;16;;173
ID_594186;365163;02/03/2022;69;;8;;77
ID_594205;321360;08/12/2021;210;-10;15.95;;215.95
ID_594210;297279;31/03/2021;177;-20;29.99;;186.99
ID_594210;406701;04/12/2022;39;;6.5;;45.5
